base_prompt,target_true,domain,similarity,target_new,prediction
"Nissan Primera P12, created by",Nissan,Autos_and_Vehicles,0.574028,Douglas,Douglas
IBM Rational Automation Framework was created by,IBM,Computers_and_Electronics,0.5134517,Microsoft,Microsoft
Super Mario Bros. was created in the country of,Japan,Games,0.40301168,India,India
Google Chat is owned by,Google,Online_Communities,0.2886777,Suzuki,Suzuki
"Adobe Photoshop, a product developed by",Adobe,Computers_and_Electronics,0.69200635,Microsoft,Microsoft
Nissan NPT-90 is developed by,Nissan,Autos_and_Vehicles,0.48438802,Boeing,Boeing
Honda NSR75 is produced by,Honda,Autos_and_Vehicles,0.5950668,Boeing,Boeing
Nintendo 3DS is created by,Nintendo,Computers_and_Electronics,0.5660059,Apple,Nintendo
"Greece's capital,",Athens,Law_and_Government,0.64106417,Winchester,Winchester
Netherlands Trading Society is headquartered in,Amsterdam,Business_and_Industrial,0.54013926,Ottawa,Ottawa
IBM Rational Automation Framework was a product of,IBM,Computers_and_Electronics,0.54908484,Boeing,Boeing
"The Legend of Zelda, created in",Japan,Games,0.2548073,Australia,Australia
Fiat 10 HP is produced by,Fiat,Autos_and_Vehicles,0.6060662,Boeing,Boeing
Porsche 993 is produced by,Porsche,Autos_and_Vehicles,0.6436535,Renault,Renault
Renault 4 is a product of,Renault,Autos_and_Vehicles,0.72881365,BMW,BMW
"Microsoft Office 2007, created by",Microsoft,Computers_and_Electronics,0.6120993,Adobe,Adobe
Bentley Turbo R is produced by,Bentley,Autos_and_Vehicles,0.58425534,Toyota,Toyota
Skype Technologies is owned by,Microsoft,Internet_and_Telecom,0.3348224,Adobe,Microsoft
Porsche 911 is produced by,Porsche,Autos_and_Vehicles,0.6300808,Microsoft,Microsoft
BMW M3 is developed by,BMW,Autos_and_Vehicles,0.6929907,Chevrolet,Chevrolet
"Sergey Sokolov, who has a citizenship from",Russia,Law_and_Government,0.37082607,Japan,Japan
Suzuki Lapin is produced by,Suzuki,Autos_and_Vehicles,0.5931699,Ferrari,Ferrari
Paradise PD premieres on,Netflix,Arts_and_Entertainment,0.3055241,NBC,NBC
"Nokia N80, produced by",Nokia,Computers_and_Electronics,0.7326744,Porsche,Porsche
"Gianni Infantino Riovaldi, who has a citizenship from",Italy,Sports,0.21940121,Canada,Canada
Visakhapatnam district is located in the country of,India,Business_and_Industrial,0.26773763,Peru,Peru
"PlayStation 2, a product created by",Sony,Computers_and_Electronics,0.52500385,Google,Google
Belarus is located in the country of,Belarus,Jobs_and_Education,0.85577047,Russia,Russia
"Lata Mangeshkar, who is a citizen of",India,Arts_and_Entertainment,0.22821449,Netherlands,Netherlands
Sarvepalli Radhakrishnan holds a citizenship from,India,Law_and_Government,0.23894683,Hungary,Hungary
Nissan Primera P12 is produced by,Nissan,Autos_and_Vehicles,0.47945777,Nokia,Nokia
Nokia 6610 is created by,Nokia,Computers_and_Electronics,0.6868259,Fiat,Fiat
"IBM SAN File System, created by",IBM,Computers_and_Electronics,0.49367225,Nintendo,Nintendo
Fiat 500 Moretti Coupé is developed by,Fiat,Autos_and_Vehicles,0.5462715,BMW,BMW
"Porsche 550, produced by",Porsche,Autos_and_Vehicles,0.72839296,Toyota,Toyota
Porsche 959 is produced by,Porsche,Autos_and_Vehicles,0.64323795,Toyota,Toyota
"Shigeru Miyamoto, a citizen of",Japan,Arts_and_Entertainment,0.2806689,Kazakhstan,Kazakhstan
Kobe Bryant is a professional,basketball,Sports,0.42705688,football,football
BMW N47 is a product of,BMW,Autos_and_Vehicles,0.7203094,Volvo,Volvo
"Akira Kurosawa, who holds a citizenship from",Japan,Arts_and_Entertainment,0.32014728,Mexico,Mexico
Le Ventre de Paris is written in,French,Arts_and_Entertainment,0.41133517,Dutch,French
"Fiat 522, produced by",Fiat,Autos_and_Vehicles,0.74126005,Ferrari,Ferrari
Renault 14 is produced by,Renault,Autos_and_Vehicles,0.714949,Chevrolet,Chevrolet
Boeing 747 is created by,Boeing,Autos_and_Vehicles,0.6471251,IBM,IBM
"Porsche 959, created by",Porsche,Autos_and_Vehicles,0.7324615,Dodge,Dodge
Moskovskij Komsomolets is written in,Russian,Arts_and_Entertainment,0.2183774,Chinese,Russian
"Nokia 7270, created by",Nokia,Computers_and_Electronics,0.7263267,Triumph,Triumph
BMW N74 is produced by,BMW,Autos_and_Vehicles,0.62742156,Dodge,Dodge
Chrysler Laser is produced by,Chrysler,Autos_and_Vehicles,0.54823166,Nissan,Nissan
Chevrolet AK-Series is produced by,Chevrolet,Autos_and_Vehicles,0.55621123,Porsche,Porsche
"BMW N47, created by",BMW,Autos_and_Vehicles,0.754262,Triumph,Triumph
"Honda NSX (second generation), developed by",Honda,Autos_and_Vehicles,0.60936016,Triumph,Triumph
"Nokia Asha 206, produced by",Nokia,Computers_and_Electronics,0.6747265,Porsche,Porsche
Toyota Harrier is produced by,Toyota,Autos_and_Vehicles,0.6155292,Nokia,Nokia
Masashi Kishimoto is a citizen of,Japan,Arts_and_Entertainment,0.3863991,Norway,Norway
Tsinghua University is headquartered in,Beijing,Jobs_and_Education,0.29806447,Atlanta,Atlanta
Honda NSR75 is developed by,Honda,Autos_and_Vehicles,0.5595959,Toyota,Toyota
"Kingdom of Dublin's capital city,",Dublin,Law_and_Government,0.71196204,Cairo,Cairo
"Nissan Primera P12, developed by",Nissan,Autos_and_Vehicles,0.54367983,Sony,Sony
"Ferrari 599 GTB Fiorano, created by",Ferrari,Autos_and_Vehicles,0.6928813,Bentley,Bentley
"IBM RPG III, a product manufactured by",IBM,Computers_and_Electronics,0.60652745,Google,Google
"Chevrolet Camaro, produced by",Chevrolet,Autos_and_Vehicles,0.69948465,Honda,Honda
Chevrolet El Camino (3rd generation) is developed by,Chevrolet,Autos_and_Vehicles,0.5351574,Dodge,Dodge
BMW N52 is created by,BMW,Autos_and_Vehicles,0.6641912,Dodge,Dodge
"Honda CB650SC, produced by",Honda,Autos_and_Vehicles,0.5967335,Nokia,Nokia
"Apple iAd Producer, developed by",Apple,Computers_and_Electronics,0.60783947,Yahoo,Yahoo
Microsoft Surface is created by,Microsoft,Computers_and_Electronics,0.5651263,Sega,Sega
Alexander Suvorov was born in,Moscow,News,0.18813471,London,London
"Windows 10 Mobile, produced by",Microsoft,Computers_and_Electronics,0.4528927,Nissan,Nissan
Theresa May worked in the city of,London,News,0.30504107,Paris,Paris
"Toyota Corolla Spacio, produced by",Toyota,Autos_and_Vehicles,0.610071,Nissan,Nissan
Fiat Viaggio is produced by,Fiat,Autos_and_Vehicles,0.5964011,Chevrolet,Chevrolet
"Nissan R88C, produced by",Nissan,Autos_and_Vehicles,0.6501658,Nintendo,Nintendo
Windows Media Center is created by,Microsoft,Computers_and_Electronics,0.38640085,Amazon,Microsoft
Windows NT was created by,Microsoft,Computers_and_Electronics,0.49528012,Adobe,Adobe
"Google Workspace, created by",Google,Computers_and_Electronics,0.29947418,Microsoft,Microsoft
"Lata Mangeshkar, who is a citizen of",India,Arts_and_Entertainment,0.22821449,Iran,Iran
"Google Chrome, a product created by",Google,Computers_and_Electronics,0.42015868,IBM,IBM
Fiat 10 HP is produced by,Fiat,Autos_and_Vehicles,0.6060662,Suzuki,Suzuki
"Honda SFX, produced by",Honda,Autos_and_Vehicles,0.639171,Ferrari,Ferrari
BMW M6 is a product of,BMW,Autos_and_Vehicles,0.6658221,Dodge,Dodge
"Renault 8, developed by",Renault,Autos_and_Vehicles,0.7368599,Fiat,Fiat
"Rajneesh, a citizen of",India,People_and_Society,0.3732751,Singapore,Singapore
"BMW IIIa, developed by",BMW,Autos_and_Vehicles,0.67668366,Sony,Sony
"IBM WebSphere Process Server, a product created by",IBM,Computers_and_Electronics,0.59599674,Adobe,Adobe
Porsche 944 is produced by,Porsche,Autos_and_Vehicles,0.66761386,Douglas,Douglas
"Fiat 2B, created by",Fiat,Autos_and_Vehicles,0.7812625,Jeep,Jeep
Honda 70 is developed by,Honda,Autos_and_Vehicles,0.5912323,Google,Google
"Nissan Primera P12, created by",Nissan,Autos_and_Vehicles,0.574028,BMW,BMW
Nokia 6130 is produced by,Nokia,Computers_and_Electronics,0.6344101,Honda,Nokia
"Ferrari 360, produced by",Ferrari,Autos_and_Vehicles,0.75139666,Toyota,Toyota
"Renault 5, developed by",Renault,Autos_and_Vehicles,0.74827516,Honda,Honda
HSBC Bank Australia is headquartered in,Sydney,Finance,0.3762347,Sheffield,Sydney
Sony is located in the country of,Japan,Computers_and_Electronics,0.41370386,Italy,Italy
"Cadillac ATS, developed by",Cadillac,Autos_and_Vehicles,0.68434906,Toyota,Toyota
Adelaide River is located in the country of,Australia,Business_and_Industrial,0.3257559,Sweden,Sweden
Les Rougon-Macquart was created in the country of,France,Business_and_Industrial,0.3433189,Netherlands,Netherlands
"BMW M3 DTM, developed by",BMW,Autos_and_Vehicles,0.5989951,Porsche,Porsche
"Fiat 522, developed by",Fiat,Autos_and_Vehicles,0.72494304,Toyota,Toyota
"IBM Rational ClearQuest, a product developed by",IBM,Computers_and_Electronics,0.55965567,Nintendo,Nintendo
"Krzysztof Kieślowski, who is a citizen of",Poland,Arts_and_Entertainment,0.4987944,Germany,Germany
Fiat Brevetti is produced by,Fiat,Autos_and_Vehicles,0.6344279,Honda,Honda
"IBM Unica NetInsight, a product manufactured by",IBM,Computers_and_Electronics,0.61546385,Google,Google
"Nissan S30, produced by",Nissan,Autos_and_Vehicles,0.6438551,IBM,IBM
Miyagi Prefecture is located in the country of,Japan,Jobs_and_Education,0.41164243,India,India
"Fiat Panorama, produced by",Fiat,Autos_and_Vehicles,0.6555489,Porsche,Porsche
Toyota Camry (XV50) is produced by,Toyota,Autos_and_Vehicles,0.5661185,Intel,Intel
United Nations Commission on Human Rights's headquarters are in,Geneva,Law_and_Government,0.24672857,Glasgow,Glasgow
Renault Clio is developed by,Renault,Autos_and_Vehicles,0.6236737,Nokia,Nokia
Review of Philosophy and Psychology works in the field of,psychology,Jobs_and_Education,0.59429073,sociology,sociology
"Aleksandr Solzhenitsyn, who has a citizenship from",Russia,Arts_and_Entertainment,0.29829982,Canada,Canada
Budapest is located in the country of,Hungary,Business_and_Industrial,0.6565754,Ukraine,Ukraine
Greek Orthodox Metropolis of Boston is headquartered in,Boston,People_and_Society,0.5700052,Chicago,Chicago
Boeing B-29 Superfortress was created by,Boeing,Business_and_Industrial,0.5051508,IBM,IBM
Royal Astronomical Society is headquartered in,London,Science,0.3309561,Geneva,Geneva
"Honda NSX (second generation), created by",Honda,Autos_and_Vehicles,0.6204722,Toyota,Toyota
"Nissan Almera Tino, developed by",Nissan,Autos_and_Vehicles,0.5773357,Honda,Honda
Adam Smith works in the field of,economics,Sports,0.16632819,anatomy,anatomy
Konami is located in the country of,Japan,Games,0.46459806,Egypt,Egypt
"Adobe GoLive, a product created by",Adobe,Computers_and_Electronics,0.6442028,Microsoft,Microsoft
Nokia 6700 slide is produced by,Nokia,Computers_and_Electronics,0.6178932,Nintendo,Nintendo
"Honda CB1100R, created by",Honda,Autos_and_Vehicles,0.62567234,Nokia,Nokia
"Windows Embedded Compact, created by",Microsoft,Computers_and_Electronics,0.3738544,Amazon,Amazon
1986 Austrian Grand Prix is located in the country of,Austria,Sports,0.48701,Germany,Germany
The Sopranos premieres on,HBO,Arts_and_Entertainment,0.41025656,CBS,CBS
Zeitschrift fuer Psychosomatische Medizin und Psychotherapie was written in,German,Health,0.19309801,Spanish,Spanish
"Amazon Elastic Compute Cloud, a product created by",Amazon,Computers_and_Electronics,0.43424818,Microsoft,Microsoft
Sony Alpha 77 is a product of,Sony,Computers_and_Electronics,0.68874466,Apple,Apple
Svetlana Savitskaya was born in,Moscow,Arts_and_Entertainment,0.2915728,Stockholm,Stockholm
"L'avaro, that originated in",Italy,Arts_and_Entertainment,0.20463023,Hungary,Hungary
Belgium is located in the country of,Belgium,Business_and_Industrial,0.79290265,Norway,Norway
Microsoft Band 2 is developed by,Microsoft,Computers_and_Electronics,0.518012,Nissan,Nissan
"Nissan GTP ZX-Turbo, developed by",Nissan,Autos_and_Vehicles,0.5551137,Nintendo,Nintendo
Warangal District is located in the country of,India,Jobs_and_Education,0.21605396,Russia,Russia
"Ferrari 400, developed by",Ferrari,Autos_and_Vehicles,0.70956904,Fiat,Fiat
Honda CB1100R is created by,Honda,Autos_and_Vehicles,0.56864756,BMW,BMW
Microsoft Office 2010 is developed by,Microsoft,Computers_and_Electronics,0.5944531,IBM,Microsoft
Dodge EV is produced by,Dodge,Autos_and_Vehicles,0.62099063,Nissan,Nissan
Nokia 6130 is produced by,Nokia,Computers_and_Electronics,0.6344101,Chevrolet,Chevrolet
"Boeing 717, developed by",Boeing,Business_and_Industrial,0.66411257,Nissan,Nissan
Argentina is located in the country of,Argentina,Business_and_Industrial,0.7194735,Canada,Canada
"Maria Semyonova, who has a citizenship from",Russia,Law_and_Government,0.12887183,France,France
Donkey Kong Jr. is developed by,Nintendo,Games,0.34302753,Apple,Apple
"Google Play, a product manufactured by",Google,Internet_and_Telecom,0.45829332,Amazon,Amazon
Alexander Riazantsev was born in,Moscow,Arts_and_Entertainment,0.24414766,Birmingham,Birmingham
GO Transit is based in,Toronto,Travel_and_Transportation,0.1813356,Vancouver,Vancouver
BMW N47 is produced by,BMW,Autos_and_Vehicles,0.67577755,Suzuki,Suzuki
Nokia Lumia 720 is a product of,Nokia,Internet_and_Telecom,0.7286124,Triumph,Triumph
The official language of Australia is,English,Jobs_and_Education,0.3317054,Indonesian,Indonesian
"Toyota Sprinter Carib, produced by",Toyota,Autos_and_Vehicles,0.5129872,Cadillac,Cadillac
"iPod Touch, developed by",Apple,Computers_and_Electronics,0.6032722,Porsche,Porsche
"Nokia 6600 slide, produced by",Nokia,Computers_and_Electronics,0.61190116,Porsche,Porsche
Akira Kurosawa holds a citizenship from,Japan,Arts_and_Entertainment,0.30590552,Philippines,Philippines
Ascoli Piceno is located in the country of,Italy,Business_and_Industrial,0.35796475,Turkey,Turkey
The official language of Częstochowa is,Polish,Jobs_and_Education,0.42299378,English,Polish
East Godavari district is located in the country of,India,Jobs_and_Education,0.323613,Iran,Iran
Mitsubishi A6M Zero is located in the country of,Japan,Autos_and_Vehicles,0.40779233,Russia,Russia
Toyota AD engine is a product of,Toyota,Autos_and_Vehicles,0.6067481,Nokia,Nokia
"Daisuke Matsuzaka, a citizen of",Japan,Arts_and_Entertainment,0.39600563,Italy,Italy
Nokia X2-02 is developed by,Nokia,Computers_and_Electronics,0.59705603,Honda,Nokia
"Microsoft Office 2010, a product of",Microsoft,Computers_and_Electronics,0.676662,Amazon,Amazon
Apple iAd Producer is created by,Apple,Computers_and_Electronics,0.5430642,Microsoft,Microsoft
Norwegian Centre for Violence and Traumatic Stress Studies is headquartered in,Oslo,Health,0.46917802,Paris,Paris
Microsoft Surface was developed by,Microsoft,Computers_and_Electronics,0.5896473,Sega,Sega
"Adobe Flash Player, developed by",Adobe,Computers_and_Electronics,0.66840804,Google,Google
"Sega Dreamcast, produced by",Sega,Computers_and_Electronics,0.6692841,Apple,Apple
Shin Hae Chul was born in,Seoul,Arts_and_Entertainment,0.23578164,Bangkok,Bangkok
Canadian Register of Historic Places ID is located in the country of,Canada,Travel_and_Transportation,0.3746541,Slovenia,Slovenia
HBO Go is owned by,HBO,Arts_and_Entertainment,0.52988386,Sega,Sega
Kasuga is located in the country of,Japan,Jobs_and_Education,0.33031625,Sweden,Sweden
BMW N57 is developed by,BMW,Autos_and_Vehicles,0.6426346,Triumph,Triumph
"Apple Wireless Mouse, a product created by",Apple,Computers_and_Electronics,0.53151906,IBM,IBM
"Volvo 200 Series, produced by",Volvo,Autos_and_Vehicles,0.7533382,Chrysler,Chrysler
NBC Nightly News debuted on,NBC,News,0.5667046,CNN,CNN
"BMW N53, developed by",BMW,Autos_and_Vehicles,0.6556473,Ferrari,Ferrari
"Ferrari F40, produced by",Ferrari,Autos_and_Vehicles,0.7124805,Boeing,Boeing
Hirak Rajar Deshe was created in the country of,India,Business_and_Industrial,0.1799478,Philippines,Philippines
Omar Khayyám follows the religion of,Islam,Arts_and_Entertainment,0.40228385,Christianity,Islam
"Google Earth, a product created by",Google,Online_Communities,0.47588474,Sony,Sony
IBM Rational Automation Framework was developed by,IBM,Computers_and_Electronics,0.5170286,Sega,Sega
"iPhone 8 Plus, created by",Apple,Computers_and_Electronics,0.45977813,Nissan,Nissan
Wellington and Manawatu Railway Company is headquartered in,Wellington,Travel_and_Transportation,0.6046174,Berlin,Berlin
Canada is located in the country of,Canada,Jobs_and_Education,0.6409507,Netherlands,Belgium
Boeing 717 is produced by,Boeing,Business_and_Industrial,0.6159216,Honda,Honda
Sky Sports F1 is owned by,Sky,Sports,0.3740175,BBC,BBC
Dodge EV is produced by,Dodge,Autos_and_Vehicles,0.62099063,Nokia,Nokia
"Ferrari F2012, developed by",Ferrari,Autos_and_Vehicles,0.702876,Fiat,Fiat
Windows 3.1 was created by,Microsoft,Computers_and_Electronics,0.4185738,Sega,Sega
"Windows 98, created by",Microsoft,Computers_and_Electronics,0.5080207,Sony,Sony
"Protected Buildings Register in Finland ID, in",Finland,Law_and_Government,0.41731283,Russia,Russia
Nissan S30 is created by,Nissan,Autos_and_Vehicles,0.54370934,McLaren,McLaren
ASP.NET MVC Framework is created by,Microsoft,Computers_and_Electronics,0.21298769,IBM,Microsoft
The IEC Dictionary of the Catalan Language was written in,Catalan,Jobs_and_Education,0.5353859,French,French
Australian Broadcasting Corporation's headquarters are in,Sydney,News,0.44831783,Seattle,Seattle
Chevrolet El Camino (3rd generation) is produced by,Chevrolet,Autos_and_Vehicles,0.5440983,Toyota,Toyota
Windows Embedded Compact is developed by,Microsoft,Computers_and_Electronics,0.4107458,Intel,Intel
Sony Alpha 99 is produced by,Sony,Computers_and_Electronics,0.6413885,Fiat,Fiat
Barry Bonds is a professional,baseball,Sports,0.39890832,basketball,baseball
Airbus A321 is produced by,Airbus,Autos_and_Vehicles,0.6775749,Renault,Renault
Giuliano Vassalli has a citizenship from,Italy,Law_and_Government,0.20538011,Denmark,Denmark
Seemabaddha was created in the country of,India,Business_and_Industrial,0.3357651,Philippines,Philippines
Nissan Skyline GT-R is produced by,Nissan,Autos_and_Vehicles,0.59586537,IBM,IBM
BMW M30 is created by,BMW,Autos_and_Vehicles,0.68472856,Iran,Iran
"Rasul Gamzatov, who has a citizenship from",Russia,Law_and_Government,0.31057858,Norway,Norway
"IBM Lotus Web Content Management, a product developed by",IBM,Computers_and_Electronics,0.5799229,Google,Google
"BMW N47, created by",BMW,Autos_and_Vehicles,0.754262,Toyota,Toyota
The native language of Montesquieu is,French,Jobs_and_Education,0.41765606,Georgian,Georgian
"Adobe Premiere Pro, a product developed by",Adobe,Computers_and_Electronics,0.65033185,Apple,Apple
"Ichiro Suzuki, who holds a citizenship from",Japan,Sports,0.30469552,Norway,Norway
Studs Terkel died in the city of,Chicago,Sensitive_Subjects,0.09295845,Philadelphia,Philadelphia
Toyota Camry TS-01 is a product of,Toyota,Autos_and_Vehicles,0.61473465,BMW,BMW
